id,state_1,state_2
313,2016-02-07 11:32:13.3857730,2016-02-07 13:28:55.2896240
314,2016-02-07 11:52:12.4277990,2016-02-07 13:57:55.2016500
315,2016-02-07 12:34:11.9385730,2016-02-07 13:59:48.1456200
316,2016-02-07 13:07:09.1050960,2016-02-07 19:35:11.5329350
317,2016-02-07 13:33:10.1187520,2016-02-07 15:34:48.1738970
318,2016-02-07 13:46:09.9054280,2016-02-07 15:33:25.4997960
319,2016-02-07 14:19:18.5712450,2016-02-07 15:36:18.0019410
320,2016-02-07 15:03:09.5605070,2016-02-07 19:21:31.5818530
321,2016-02-07 15:25:10.8361800,2016-02-07 17:38:03.8387420
322,2016-02-07 15:29:11.0175830,2016-02-08 02:30:18.8163640
323,2016-02-07 16:25:10.3725580,2016-02-07 19:23:44.7697940
324,2016-02-07 17:22:11.6625200,2016-02-11 19:45:52.6275260
325,2016-02-07 17:50:15.2697130,2016-02-08 02:40:57.6630200
326,2016-02-08 08:32:12.4466320,2016-02-08 14:21:46.7900220
327,2016-02-08 09:34:11.8176470,2016-02-08 13:55:57.0106250
328,2016-02-08 09:46:10.2181640,2016-02-09 07:11:25.5634650
329,2016-02-08 09:58:11.1778120,2016-02-08 13:58:41.4059490
330,2016-02-08 10:09:10.4521920,2016-02-08 14:00:55.1502260
331,2016-02-08 11:03:08.4131070,2016-02-08 14:11:04.4369150
332,2016-02-08 11:30:16.8675430,2016-02-08 15:02:27.0724870
333,2016-02-08 11:34:12.3566930,2016-02-08 15:25:21.4396830
334,2016-02-08 11:37:10.2094400,2016-02-08 16:04:13.5646480
335,2016-02-08 11:41:13.3094760,2016-02-08 14:55:48.7692300
336,2016-02-08 11:44:11.9202120,2016-02-08 14:31:27.7455950
337,2016-02-08 12:25:09.6867710,2016-02-10 12:44:43.0258130
338,2016-02-08 12:37:08.7116380,2016-02-08 16:20:34.9508460
339,2016-02-08 12:49:14.0350960,2016-02-09 21:08:49.7566240
340,2016-02-08 13:03:10.6919320,2016-02-08 16:19:49.1644970
341,2016-02-08 13:08:11.0983040,2016-02-08 16:54:19.2673710
342,2016-02-08 13:10:13.5779100,2016-02-09 00:01:55.2695960
343,2016-02-08 14:19:10.0853960,2016-02-08 17:03:49.4272490
344,2016-02-08 14:25:11.1104570,
345,2016-02-08 14:35:12.9279020,2016-02-08 17:08:10.0518840
346,2016-02-08 14:37:12.8693130,2016-02-08 17:12:06.9237920
347,2016-02-08 14:47:10.9909540,
348,2016-02-08 14:50:17.3274580,2016-02-09 21:39:22.8705450
349,2016-02-08 14:54:15.3285270,
350,2016-02-08 15:12:10.1113810,2016-02-08 17:33:31.6295880
351,2016-02-08 15:16:10.4109330,2016-02-08 17:57:42.1271170
352,2016-02-08 15:34:11.0676230,2016-02-08 18:11:20.6110630
353,2016-02-08 17:01:08.7232500,2016-02-08 19:16:58.6035210
354,2016-02-08 17:45:14.9151140,2016-02-08 19:18:06.7319150
355,2016-02-08 18:04:10.9312060,
356,2016-02-08 18:18:09.8742420,2016-02-08 19:48:27.1745990
357,2016-02-08 18:39:10.5386630,
358,2016-02-08 21:28:09.9794050,2016-02-09 03:38:19.4285290
359,2016-02-08 21:35:09.4836840,2016-02-09 03:45:07.2552440
360,2016-02-08 21:35:17.4835000,2016-02-09 03:46:39.3779140
361,2016-02-08 21:54:10.7144660,2016-02-08 23:43:44.7486210
362,2016-02-08 21:58:10.8768460,2016-02-09 21:51:48.0461240
363,2016-02-08 21:59:09.3677790,2016-02-08 23:58:27.9779790
364,2016-02-08 22:28:13.7860730,2016-02-09 16:35:10.5969580
365,2016-02-08 23:46:12.1995910,
366,2016-02-08 23:59:07.9278670,2016-02-09 03:52:10.5432890
367,2016-02-09 03:43:08.0617170,2016-02-09 09:49:22.4802450
368,2016-02-01 15:07:10.9721890,2016-02-01 20:30:47.4903370
369,2016-02-09 05:05:09.3212980,2016-02-09 10:10:29.7764710
370,2016-02-09 05:30:21.6541910,2016-02-09 09:52:20.5508080
371,2016-02-09 08:58:10.3152220,
372,2016-02-09 09:46:10.8397090,2016-02-11 22:25:56.4541750
373,2016-02-09 10:00:20.5152500,2016-02-09 21:03:06.4455390
374,2016-02-09 10:00:44.9318220,2016-02-09 14:44:37.5148120
375,2016-02-09 10:25:53.8121330,2016-02-09 11:58:56.1170610
376,2016-02-09 11:07:10.1325780,2016-02-09 14:47:36.3223000
377,2016-02-09 12:21:13.7933930,2016-02-10 09:46:52.9646320
378,2016-02-08 15:16:10.4109330,2016-02-08 17:57:42.1271170
379,2016-02-08 15:16:10.4109330,2016-02-08 17:57:42.1271170
380,2016-02-09 12:55:10.1454700,2016-02-09 15:15:33.0014070
381,2016-02-09 13:08:18.9326080,2016-02-09 15:22:28.4441970
382,2016-02-09 13:16:12.3203780,2016-02-10 16:42:14.0525160
383,2016-02-09 13:16:12.3203780,2016-02-10 16:42:14.0525160
384,2016-02-09 13:24:10.9096310,2016-02-09 15:10:50.2016850
385,2016-02-09 14:59:10.0777560,2016-02-09 18:31:15.0845880
386,2016-02-09 15:35:11.0264790,2016-02-09 19:12:55.6644590
387,2016-02-09 15:39:47.2195600,2016-02-09 18:25:57.2188650
388,2016-02-09 16:08:11.1477160,2016-02-09 21:53:15.3245810
389,2016-02-09 16:38:11.1815830,2016-02-09 21:54:48.7367540
390,2016-02-09 17:11:09.1255850,2016-02-09 21:56:33.4680620
391,2016-02-09 17:30:15.5621970,2016-02-09 21:58:14.9889390
392,2016-02-09 17:36:11.2185130,2016-02-10 16:45:30.3978760
393,2016-02-09 18:15:12.6049850,2016-02-09 22:00:04.0408350
394,2016-02-09 18:41:08.7491710,2016-02-11 19:36:32.5454060
395,2016-02-09 20:06:12.3797490,2016-02-09 22:06:13.7264080
396,2016-02-09 22:09:37.3192390,
397,2016-02-10 00:16:10.2338320,2016-02-10 03:43:12.1479560
398,2016-02-10 03:33:17.5025690,
399,2016-02-10 03:50:13.8171670,
400,2016-02-10 05:49:09.0060370,2016-02-10 09:06:07.4130120
401,2016-02-10 08:11:09.4214590,
402,2016-02-10 08:29:09.2050750,
403,2016-02-10 09:06:14.2356930,2016-02-10 15:52:12.1773800
404,2016-02-10 09:10:16.2019070,2016-02-10 11:37:16.6617900
